hour,time_of_day,day_of_week,is_weekend,event_category,scheduled_event,time_until_event_min,location,energy_level,phone_battery_pct,tasks_pending,last_meal_hours_ago,last_break_minutes_ago,weather,focus_score,fuel_level_pct,has_unread_email,messages_pending,last_media,is_night,suggestion_name,suggestion_label
20,evening,4,0,work,presentation,60,work,37.6,73.5,10,2.36,8.1,clear,96.0,81.1,0,0,podcast,0,no_action,7
22,night,5,1,none,none,999,outside,39.1,55.9,3,0.74,134.5,clear,82.7,18.1,1,1,podcast,1,wind_down,22
7,morning,2,0,work,deadline,69,work,83.4,40.4,2,3.74,37.2,rain,78.7,49.9,0,3,none,0,no_action,7
12,afternoon,6,1,social,friends_hangout,136,outside,21.0,89.4,0,1.55,110.0,clear,77.7,5.0,1,0,podcast,0,no_action,7
11,morning,2,0,none,none,999,home,96.9,72.8,4,5.88,123.1,clear,90.4,27.4,0,5,none,0,focus_session,5
20,evening,3,0,school,assignment_due,34,school,12.6,79.2,5,0.0,46.1,clear,39.8,69.1,1,3,music,0,no_action,7
1,night,0,0,none,none,999,home,73.2,60.8,6,0.09,69.4,clear,89.2,87.6,0,2,podcast,1,no_action,7
1,night,2,0,none,none,999,home,41.8,61.1,7,0.82,136.7,rain,98.2,55.7,1,2,podcast,1,sleep_suggestion,15
5,morning,4,0,social,family_time,102,home,86.3,72.5,3,3.96,110.9,rain,33.3,27.1,1,5,none,1,no_action,7
22,night,4,0,none,none,999,home,69.7,20.2,2,10.0,4.6,fog,44.9,66.0,0,2,podcast,1,eat_something,1
23,night,3,0,none,none,999,home,79.5,53.8,2,0.49,40.3,fog,59.1,54.8,0,4,music,1,wind_down,22
21,night,2,0,none,none,999,home,40.4,85.7,6,2.41,151.9,rain,79.0,96.2,1,2,none,1,wind_down,22
12,afternoon,2,0,school,study_session,41,school,40.0,62.8,10,0.06,22.3,clear,93.5,73.7,1,3,music,0,study_for_class,18
23,night,0,0,none,none,999,outside,21.4,70.4,9,0.17,34.4,clear,83.1,43.1,0,5,none,1,sleep_suggestion,15
9,morning,3,0,none,none,999,home,96.4,83.2,10,0.58,12.8,clear,42.4,94.3,0,4,none,0,focus_session,5
11,morning,0,0,work,focus_work,161,work,69.5,39.8,0,1.23,66.7,snow,64.3,60.7,1,4,music,0,no_action,7
20,evening,3,0,social,date,97,home,95.3,69.3,7,0.57,169.5,clear,18.8,53.1,0,0,podcast,0,no_action,7
18,evening,4,0,social,dinner,54,restaurant,31.9,94.3,4,1.81,142.9,rain,25.2,94.4,1,4,none,0,no_action,7
11,morning,5,1,work,deadline,74,work,31.2,53.2,2,3.15,16.8,rain,40.3,79.7,0,5,none,0,no_action,7
3,night,4,0,none,none,999,home,10.5,59.5,1,1.05,113.4,clear,77.2,58.9,0,4,music,1,sleep_suggestion,15
21,night,1,0,work,deadline,59,work,58.8,67.6,1,0.72,120.1,rain,11.4,5.0,0,3,music,1,take_break,20
17,evening,6,1,health,medication_reminder,162,outside,83.9,71.1,6,3.03,92.4,clear,56.4,57.9,1,5,music,0,no_action,7
18,evening,1,0,social,dinner,27,restaurant,99.5,71.4,10,1.22,12.2,rain,57.4,99.2,0,2,music,0,get_ready,6
6,morning,1,0,school,study_session,10,commuting,56.8,69.6,0,1.01,53.4,rain,72.1,65.3,1,3,podcast,0,play_podcast,10
2,night,5,1,social,family_time,23,outside,93.2,72.0,10,0.44,115.2,rain,50.1,63.9,1,4,music,1,start_commute,17
21,night,1,0,none,none,999,home,45.0,100.0,10,3.81,114.6,rain,76.6,57.7,0,4,none,1,wind_down,22
10,morning,3,0,work,presentation,53,work,34.4,77.8,7,0.56,46.2,rain,27.7,49.7,0,3,music,0,no_action,7
22,night,1,0,none,none,999,home,87.4,100.0,6,0.3,77.4,clear,1.5,97.8,1,1,podcast,1,wind_down,22
4,night,6,1,none,none,999,outside,86.3,85.7,1,0.99,99.5,clear,7.9,93.3,1,3,podcast,1,no_action,7
3,night,4,0,none,none,999,home,68.0,83.1,7,0.66,177.4,clear,23.0,37.3,0,1,none,1,no_action,7
15,afternoon,4,0,none,none,999,outside,98.8,69.9,4,0.03,91.5,clear,0.2,62.3,1,2,music,0,read_email_alert,12
3,night,5,1,none,none,999,home,76.8,56.0,7,0.9,40.4,rain,33.0,64.0,0,3,music,1,no_action,7
4,night,0,0,health,gym,142,gym,98.3,95.4,0,0.08,102.1,clear,22.5,39.0,0,5,podcast,1,no_action,7
22,night,4,0,none,none,999,outside,25.0,48.0,10,1.18,61.2,fog,48.7,59.4,0,1,none,1,wind_down,22
12,afternoon,3,0,none,none,999,home,29.4,100.0,4,3.53,166.3,clear,70.5,66.0,1,3,podcast,0,read_email_alert,12
12,afternoon,2,0,health,gym,-6,gym,33.8,81.9,3,2.17,109.5,rain,43.2,29.2,1,3,music,0,no_action,7
19,evening,5,1,social,dinner,135,restaurant,55.1,72.9,2,0.97,97.1,clear,31.7,68.5,0,1,none,0,no_action,7
5,morning,5,1,work,presentation,97,work,50.1,89.5,7,8.18,53.3,rain,91.2,68.9,0,3,none,1,eat_something,1
18,evening,3,0,work,presentation,81,work,59.8,53.8,6,5.69,115.7,rain,12.6,28.8,0,1,podcast,0,take_break,20
10,morning,3,0,none,none,999,home,19.9,100.0,10,0.63,172.5,clear,12.9,69.8,0,0,music,0,no_action,7
16,afternoon,0,0,school,assignment_due,105,school,81.3,55.8,6,2.67,162.4,clear,18.4,60.6,0,2,music,0,take_break,20
12,afternoon,5,1,health,gym,76,gym,46.3,65.8,10,1.88,135.5,snow,57.4,86.2,0,2,music,0,no_action,7
18,evening,5,1,health,doctor_appointment,110,outside,43.6,93.4,1,0.3,172.5,clear,2.2,100.0,0,3,podcast,0,no_action,7
5,morning,6,1,none,none,999,home,14.9,72.6,5,1.6,129.3,rain,64.3,54.6,0,2,music,1,no_action,7
4,night,0,0,none,none,999,home,46.5,69.2,5,0.08,65.6,fog,29.6,88.4,0,2,none,1,no_action,7
11,morning,1,0,social,friends_hangout,49,home,39.9,43.9,6,1.66,130.8,snow,38.3,52.6,1,2,podcast,0,no_action,7
16,afternoon,5,1,health,therapy,60,home,46.6,100.0,5,0.77,83.4,clear,88.9,76.7,0,0,none,0,no_action,7
8,morning,3,0,social,dinner,94,restaurant,92.4,65.0,9,4.27,5.8,clear,23.4,58.5,0,0,podcast,0,no_action,7
14,afternoon,2,0,school,assignment_due,143,school,49.9,29.5,10,1.08,58.8,snow,16.2,21.2,0,3,none,0,no_action,7
14,afternoon,3,0,health,medication_reminder,88,outside,76.8,81.4,10,10.0,144.5,fog,15.1,80.2,0,2,podcast,0,eat_something,1
0,night,5,1,none,none,999,home,59.6,94.0,10,0.75,28.9,clear,1.4,42.5,0,0,none,1,no_action,7
13,afternoon,1,0,social,family_time,102,home,45.6,85.6,0,0.05,40.4,clear,86.6,64.3,0,4,none,0,no_action,7
8,morning,0,0,social,date,85,outside,97.4,79.3,0,1.43,115.0,clear,60.1,80.6,0,5,podcast,0,no_action,7
20,evening,6,1,social,dinner,25,restaurant,99.8,100.0,0,0.06,16.4,clear,82.2,85.6,1,5,podcast,0,get_ready,6
4,night,5,1,social,dinner,131,restaurant,40.6,95.0,8,0.96,172.5,rain,81.3,91.7,0,2,music,1,sleep_suggestion,15
3,night,0,0,none,none,999,home,80.0,79.7,5,1.74,51.6,rain,1.3,100.0,1,3,music,1,no_action,7
11,morning,5,1,social,dinner,86,restaurant,87.5,42.9,6,4.66,160.5,rain,99.6,36.0,0,3,podcast,0,no_action,7
1,night,3,0,none,none,999,home,61.4,72.0,0,2.5,140.0,snow,52.6,100.0,1,3,music,1,no_action,7
13,afternoon,2,0,school,assignment_due,28,school,35.6,11.2,0,4.69,33.3,fog,53.9,92.2,1,4,podcast,0,charge_phone,0
15,afternoon,1,0,health,gym,114,gym,70.3,20.6,10,5.57,15.4,clear,36.4,42.7,1,4,music,0,no_action,7
22,night,3,0,none,none,999,home,31.2,60.4,7,1.13,167.1,snow,49.3,51.0,0,5,music,1,wind_down,22
0,night,2,0,none,none,999,home,17.1,33.5,6,0.05,45.2,rain,33.6,74.7,0,3,podcast,1,sleep_suggestion,15
0,night,0,0,none,none,999,home,66.0,49.3,3,6.79,66.9,clear,54.4,32.4,1,1,none,1,eat_something,1
10,morning,6,1,health,therapy,142,home,97.5,52.8,10,0.39,92.0,snow,43.3,41.6,0,0,none,0,no_action,7
20,evening,1,0,school,assignment_due,80,school,69.1,68.1,9,0.36,78.3,clear,93.2,85.1,1,1,podcast,0,no_action,7
23,night,6,1,none,none,999,home,34.2,81.7,6,10.0,106.2,clear,63.1,100.0,0,0,none,1,sleep_suggestion,15
2,night,0,0,none,none,999,outside,76.4,27.1,10,2.7,109.3,fog,55.2,37.0,1,3,none,1,no_action,7
15,afternoon,2,0,school,study_session,106,school,29.7,51.1,2,5.21,102.9,clear,11.4,89.1,0,1,music,0,study_for_class,18
9,morning,1,0,none,none,999,home,11.0,85.8,7,4.24,80.0,clear,44.1,100.0,0,2,music,0,no_action,7
14,afternoon,1,0,work,deadline,131,work,22.3,29.3,5,1.34,130.1,rain,48.2,61.3,1,0,none,0,take_break,20
5,morning,3,0,none,none,999,outside,19.4,49.3,7,0.1,154.5,clear,75.1,45.6,0,5,music,1,no_action,7
23,night,3,0,none,none,999,home,32.6,100.0,10,4.54,101.1,clear,47.4,44.0,1,5,none,1,sleep_suggestion,15
6,morning,2,0,school,lecture,0,commuting,55.6,76.4,10,0.58,121.1,clear,68.9,76.9,0,2,none,0,find_parking,4
1,night,5,1,none,none,999,home,64.5,54.1,8,0.68,143.5,clear,45.7,78.4,1,5,podcast,1,no_action,7
14,afternoon,2,0,school,assignment_due,93,school,75.6,75.1,10,2.02,179.6,clear,40.7,84.7,0,1,none,0,take_break,20
0,night,2,0,health,therapy,-29,commuting,88.9,56.2,10,0.93,103.1,clear,83.4,57.2,0,0,music,1,no_action,7
15,afternoon,6,1,social,date,40,home,33.2,32.8,7,0.08,127.2,clear,97.3,98.2,0,1,none,0,start_commute,17
19,evening,5,1,health,therapy,-23,commuting,10.4,82.0,3,0.75,37.4,rain,59.8,26.8,0,0,none,0,no_action,7
5,morning,5,1,none,none,999,home,23.9,62.5,5,3.61,123.0,clear,45.6,58.1,0,2,podcast,1,no_action,7
22,night,3,0,social,family_time,166,home,28.3,100.0,6,2.08,123.7,rain,68.5,48.4,0,1,music,1,no_action,7
5,morning,4,0,none,none,999,home,84.6,81.6,10,1.83,109.9,clear,45.7,34.7,1,3,none,1,no_action,7
22,night,4,0,none,none,999,outside,54.4,28.1,3,1.15,48.4,fog,17.3,72.8,0,3,podcast,1,wind_down,22
16,afternoon,0,0,work,team_meeting,55,work,48.0,29.3,8,1.33,107.0,clear,41.4,80.7,0,3,music,0,take_break,20
7,morning,3,0,school,exam,43,commuting,24.2,80.9,8,0.11,104.2,clear,21.2,67.6,0,2,none,0,play_music,9
20,evening,1,0,work,presentation,-10,work,49.2,47.7,9,0.01,88.6,rain,36.5,31.7,1,1,none,0,silence_phone,14
23,night,6,1,none,none,999,home,39.2,82.1,2,1.95,16.7,rain,57.8,5.0,0,3,podcast,1,sleep_suggestion,15
6,morning,6,1,social,dinner,155,restaurant,63.7,74.2,4,2.0,134.2,clear,86.2,34.6,0,3,none,0,no_action,7
16,afternoon,2,0,school,assignment_due,86,school,11.6,87.2,4,1.87,88.5,clear,69.6,97.4,0,4,music,0,no_action,7
18,evening,6,1,none,none,999,home,82.5,67.1,8,1.38,71.4,clear,46.7,79.9,0,2,podcast,0,focus_session,5
3,night,4,0,health,gym,36,gym,97.4,80.2,10,0.77,28.9,clear,39.9,22.1,0,2,none,1,no_action,7
12,afternoon,0,0,health,therapy,133,home,24.2,69.2,5,0.15,1.8,rain,58.3,66.2,0,2,music,0,no_action,7
18,evening,5,1,none,none,999,outside,28.8,77.4,9,10.0,139.2,rain,11.5,67.9,0,2,music,0,eat_something,1
14,afternoon,6,1,work,presentation,122,work,29.0,43.3,5,0.01,127.9,clear,6.3,75.9,1,2,none,0,take_break,20
14,afternoon,0,0,none,none,999,home,38.1,89.4,2,0.63,162.3,clear,1.5,51.5,0,4,podcast,0,no_action,7
11,morning,0,0,school,study_session,73,school,38.5,89.6,1,0.49,19.2,rain,80.4,70.4,1,1,none,0,study_for_class,18
11,morning,2,0,school,exam,55,school,73.9,48.3,0,0.9,15.4,clear,50.8,66.8,0,1,podcast,0,study_for_class,18
19,evening,0,0,work,focus_work,108,work,63.4,67.7,4,6.11,47.2,fog,26.9,67.3,1,0,none,0,eat_something,1
10,morning,1,0,health,medication_reminder,13,commuting,42.3,93.6,3,0.37,16.6,fog,33.6,79.9,0,3,none,0,play_music,9
12,afternoon,3,0,school,exam,118,school,95.8,100.0,0,1.85,109.0,rain,59.6,5.0,0,4,music,0,study_for_class,18
12,afternoon,6,1,health,medication_reminder,-5,commuting,21.9,29.9,1,5.06,65.2,snow,60.4,74.5,0,0,podcast,0,suggest_repeat_action,19
15,afternoon,1,0,school,exam,141,school,58.0,54.2,1,2.77,53.2,clear,89.6,53.1,0,2,music,0,no_action,7
4,night,3,0,none,none,999,home,86.2,58.9,8,0.12,1.2,clear,30.4,78.1,0,5,podcast,1,no_action,7
1,night,3,0,none,none,999,home,56.4,65.7,2,2.96,114.8,rain,23.0,60.4,0,2,none,1,no_action,7
2,night,6,1,health,gym,32,gym,97.5,78.8,6,1.83,43.5,fog,86.4,76.2,0,5,music,1,no_action,7
8,morning,1,0,school,exam,137,school,75.2,64.1,1,0.97,13.2,rain,21.7,70.8,0,5,none,0,no_action,7
23,night,0,0,none,none,999,outside,15.6,46.4,6,3.9,56.5,snow,30.5,90.4,0,3,podcast,1,sleep_suggestion,15
16,afternoon,3,0,social,friends_hangout,123,home,92.2,58.7,2,2.21,78.8,clear,31.8,54.9,0,5,music,0,no_action,7
4,night,4,0,none,none,999,outside,23.8,33.9,4,1.27,124.4,rain,3.4,100.0,0,3,podcast,1,sleep_suggestion,15
21,night,5,1,health,therapy,86,outside,52.5,56.5,6,0.45,2.8,clear,56.4,92.2,1,1,music,1,no_action,7
5,morning,5,1,none,none,999,outside,95.3,100.0,2,0.43,163.0,rain,49.5,28.0,0,3,none,1,no_action,7
3,night,0,0,none,none,999,home,98.1,80.7,7,0.25,77.7,clear,7.8,50.6,0,3,music,1,no_action,7
19,evening,5,1,none,none,999,home,57.5,100.0,8,1.91,169.6,clear,5.0,13.2,1,1,music,0,read_email_alert,12
21,night,3,0,school,assignment_due,56,school,99.9,96.1,2,3.79,118.2,rain,60.1,71.3,1,1,music,1,take_break,20
1,night,4,0,work,presentation,105,work,87.6,80.0,5,0.03,176.4,rain,24.9,63.1,0,5,podcast,1,take_break,20
18,evening,4,0,health,therapy,2,commuting,45.7,100.0,9,1.25,37.5,fog,7.2,95.8,0,5,none,0,find_parking,4
10,morning,6,1,health,doctor_appointment,99,home,97.5,87.7,8,1.37,42.2,clear,14.4,71.5,1,4,none,0,no_action,7
16,afternoon,3,0,social,family_time,166,outside,58.0,100.0,10,0.22,143.5,fog,52.9,52.6,0,3,none,0,no_action,7
23,night,2,0,none,none,999,home,57.8,83.5,1,1.85,16.2,clear,34.5,56.9,1,2,podcast,1,wind_down,22
22,night,5,1,none,none,999,outside,83.6,80.3,0,2.11,76.3,clear,53.6,89.6,1,4,none,1,wind_down,22
22,night,1,0,none,none,999,home,35.7,59.3,7,3.15,168.8,clear,15.6,85.9,0,4,none,1,wind_down,22
5,morning,4,0,none,none,999,home,84.2,62.2,8,0.81,79.2,clear,86.2,92.7,0,4,music,1,no_action,7
17,evening,1,0,social,date,108,home,41.9,77.8,3,1.25,59.1,rain,66.1,41.9,0,5,podcast,0,no_action,7
15,afternoon,6,1,social,date,89,home,35.0,56.8,0,1.03,145.2,clear,86.3,100.0,1,0,none,0,no_action,7
19,evening,4,0,health,gym,54,gym,92.0,74.0,10,0.79,28.2,clear,85.5,99.0,0,4,podcast,0,no_action,7
19,evening,3,0,social,friends_hangout,-10,commuting,50.2,78.8,1,4.97,137.1,clear,27.9,64.7,1,2,none,0,no_action,7
21,night,5,1,none,none,999,home,65.5,51.3,9,1.08,90.5,snow,24.4,30.1,0,3,podcast,1,wind_down,22
13,afternoon,0,0,social,date,128,home,70.1,80.2,4,1.27,0.3,rain,3.4,78.6,0,0,none,0,no_action,7
23,night,1,0,none,none,999,home,16.8,83.3,1,1.83,32.2,clear,94.1,47.2,1,4,none,1,sleep_suggestion,15
13,afternoon,4,0,none,none,999,home,84.4,68.8,5,1.1,45.4,clear,94.0,93.6,1,3,none,0,read_email_alert,12
6,morning,1,0,none,none,999,outside,43.8,68.5,9,0.24,74.9,clear,43.2,65.1,0,3,none,0,no_action,7
17,evening,6,1,social,date,13,commuting,42.5,45.2,6,1.95,41.5,rain,92.0,38.9,0,2,none,0,get_ready,6
7,morning,5,1,none,none,999,home,20.6,70.2,4,1.08,151.0,clear,76.0,52.2,0,5,music,0,no_action,7
12,afternoon,5,1,health,medication_reminder,113,home,69.1,40.2,5,0.56,129.8,rain,20.8,94.9,1,5,music,0,no_action,7
6,morning,4,0,work,team_meeting,111,work,59.3,81.7,2,5.22,96.5,rain,85.4,96.6,0,0,none,0,take_break,20
12,afternoon,1,0,work,presentation,100,work,36.7,100.0,3,3.59,29.8,clear,32.3,100.0,0,1,music,0,no_action,7
3,night,0,0,none,none,999,outside,79.7,83.2,2,0.16,149.9,rain,67.6,57.4,0,1,podcast,1,no_action,7
18,evening,3,0,work,team_meeting,81,work,51.7,39.7,7,4.27,162.6,rain,3.9,89.8,0,4,none,0,take_break,20
0,night,5,1,social,friends_hangout,-3,commuting,69.9,87.0,6,1.74,151.8,clear,34.4,53.6,1,1,music,1,no_action,7
14,afternoon,3,0,school,exam,125,school,80.6,100.0,1,0.52,175.1,clear,59.6,45.6,0,5,none,0,take_break,20
11,morning,4,0,work,presentation,39,work,54.0,58.3,1,0.13,87.5,rain,18.5,21.9,0,0,none,0,no_action,7
8,morning,5,1,health,therapy,29,home,46.9,100.0,8,0.75,164.0,fog,61.2,100.0,0,5,none,0,start_commute,17
6,morning,6,1,social,family_time,0,commuting,32.1,71.8,1,1.74,75.6,clear,38.7,83.4,0,1,music,0,find_parking,4
4,night,2,0,none,none,999,home,10.1,16.4,10,1.73,146.8,clear,90.6,76.9,1,5,music,1,sleep_suggestion,15
6,morning,1,0,none,none,999,outside,26.8,51.5,9,2.57,63.6,clear,14.0,44.6,0,3,music,0,no_action,7
18,evening,2,0,none,none,999,home,63.0,27.9,0,0.29,101.1,rain,53.0,52.5,0,4,music,0,no_action,7
3,night,1,0,none,none,999,home,84.2,100.0,5,0.51,60.5,clear,88.5,64.5,0,0,none,1,no_action,7
10,morning,4,0,health,therapy,40,home,71.3,71.3,10,0.18,32.2,fog,40.8,93.5,0,5,podcast,0,start_commute,17
16,afternoon,4,0,none,none,999,outside,73.2,49.5,5,0.03,26.3,rain,36.4,100.0,0,1,podcast,0,focus_session,5
16,afternoon,3,0,school,assignment_due,110,school,64.6,43.3,9,3.41,16.8,rain,69.4,44.0,0,4,none,0,no_action,7
3,night,6,1,none,none,999,home,19.1,100.0,1,1.18,90.6,clear,39.1,41.4,1,1,music,1,sleep_suggestion,15
19,evening,3,0,health,medication_reminder,160,home,17.3,100.0,2,0.08,59.4,clear,41.7,53.4,1,0,none,0,no_action,7
8,morning,2,0,health,therapy,47,home,77.8,85.4,9,7.17,34.2,clear,18.5,46.7,0,0,music,0,eat_something,1
20,evening,3,0,school,exam,81,school,35.8,100.0,9,3.77,27.2,clear,39.1,23.7,0,0,music,0,study_for_class,18
8,morning,3,0,social,date,64,home,55.8,76.5,3,0.76,149.4,clear,73.3,20.7,0,3,podcast,0,no_action,7
10,morning,3,0,work,focus_work,-27,work,35.9,91.9,10,0.34,63.1,clear,90.6,68.1,1,4,music,0,send_late_message,13
22,night,6,1,social,friends_hangout,132,home,49.2,31.3,7,1.45,17.4,clear,48.3,73.6,0,3,music,1,no_action,7
12,afternoon,3,0,work,presentation,75,work,30.9,81.1,6,8.37,90.4,clear,47.2,78.5,0,3,music,0,eat_something,1
5,morning,0,0,none,none,999,home,11.4,46.8,7,2.62,127.9,fog,64.4,35.6,1,5,none,1,no_action,7
9,morning,0,0,work,presentation,1,commuting,91.6,72.9,5,0.4,63.5,clear,4.2,55.4,0,0,none,0,find_parking,4
19,evening,1,0,health,therapy,-28,commuting,52.9,76.0,9,2.1,58.8,rain,11.6,97.2,1,0,none,0,no_action,7
6,morning,6,1,none,none,999,home,22.0,92.1,1,1.39,140.5,clear,90.3,92.1,0,4,music,0,plan_day,8
14,afternoon,2,0,health,medication_reminder,71,home,71.7,67.5,5,1.85,94.5,clear,28.2,79.9,0,4,music,0,no_action,7
3,night,0,0,none,none,999,outside,28.5,67.6,7,0.0,67.1,clear,69.0,68.2,0,3,music,1,sleep_suggestion,15
2,night,1,0,school,assignment_due,69,school,65.7,72.9,4,0.72,174.0,clear,84.5,93.0,0,1,music,1,take_break,20
18,evening,4,0,work,deadline,18,work,41.0,29.3,1,2.86,105.2,clear,91.3,40.7,0,1,podcast,0,take_break,20
3,night,6,1,none,none,999,outside,30.2,76.4,2,0.6,110.0,fog,91.9,27.3,0,0,music,1,sleep_suggestion,15
17,evening,3,0,work,focus_work,25,work,71.0,75.6,0,0.22,85.4,clear,78.8,76.0,0,4,music,0,no_action,7
22,night,3,0,none,none,999,home,94.6,67.3,5,0.58,56.6,snow,6.9,75.4,0,4,none,1,wind_down,22
23,night,6,1,none,none,999,home,83.7,74.1,6,4.37,98.8,clear,54.8,60.0,0,0,podcast,1,wind_down,22
23,night,6,1,none,none,999,outside,55.7,67.7,0,0.22,6.1,rain,69.0,32.1,0,2,podcast,1,wind_down,22
4,night,5,1,social,dinner,77,restaurant,51.7,46.2,7,0.72,120.0,rain,58.4,24.4,0,1,podcast,1,no_action,7
15,afternoon,5,1,none,none,999,outside,79.3,75.7,1,1.46,70.1,fog,18.3,65.5,0,0,podcast,0,exercise_suggestion,2
9,morning,0,0,school,lecture,59,commuting,97.4,80.9,0,2.38,170.1,clear,28.2,100.0,0,3,podcast,0,play_podcast,10
0,night,5,1,none,none,999,home,80.1,69.6,2,0.33,17.1,rain,25.1,86.9,1,5,music,1,no_action,7
7,morning,2,0,social,date,87,outside,82.5,79.7,5,0.3,138.5,clear,72.8,60.6,0,4,music,0,no_action,7
13,afternoon,1,0,school,exam,67,school,21.1,15.1,4,0.97,62.2,snow,37.5,74.3,0,3,none,0,study_for_class,18
4,night,4,0,work,team_meeting,-12,work,84.3,42.1,5,0.15,35.4,clear,30.5,100.0,1,0,music,1,silence_phone,14
15,afternoon,5,1,health,doctor_appointment,-8,commuting,45.6,80.4,4,1.78,46.4,clear,84.4,74.1,0,2,podcast,0,suggest_repeat_action,19
14,afternoon,3,0,social,dinner,154,restaurant,31.7,88.0,0,2.45,104.1,fog,35.9,47.0,0,4,podcast,0,no_action,7
6,morning,6,1,school,exam,-9,commuting,60.2,34.8,7,1.26,103.6,fog,55.2,70.0,1,0,music,0,play_music,9
12,afternoon,3,0,work,deadline,33,work,97.1,53.1,4,0.65,127.9,clear,25.3,100.0,0,3,podcast,0,take_break,20
20,evening,0,0,social,family_time,138,home,81.7,88.0,8,5.6,108.7,clear,7.3,32.1,1,3,music,0,no_action,7
20,evening,4,0,social,friends_hangout,83,outside,78.0,79.0,1,1.85,37.7,rain,68.7,55.2,0,1,music,0,no_action,7
9,morning,3,0,school,assignment_due,76,school,31.7,100.0,3,2.67,130.8,clear,99.9,100.0,0,4,music,0,take_break,20
20,evening,3,0,school,lecture,40,school,56.3,35.9,9,3.19,149.8,clear,39.8,52.9,0,3,music,0,study_for_class,18
4,night,6,1,school,lecture,162,school,53.2,40.8,3,3.71,72.4,clear,2.1,35.1,1,3,none,1,no_action,7
2,night,0,0,social,friends_hangout,127,home,79.7,49.3,6,7.33,48.8,rain,4.4,100.0,0,3,none,1,eat_something,1
3,night,2,0,none,none,999,outside,22.3,76.0,3,1.95,58.4,clear,86.6,58.0,0,0,none,1,sleep_suggestion,15
1,night,4,0,none,none,999,outside,37.1,89.4,3,4.04,91.0,clear,15.4,61.5,1,2,podcast,1,sleep_suggestion,15
1,night,6,1,social,family_time,105,home,87.6,80.3,4,2.96,49.3,clear,56.2,63.9,1,5,podcast,1,no_action,7
19,evening,2,0,health,therapy,-12,commuting,20.7,42.5,2,1.05,83.9,clear,70.0,83.7,0,3,podcast,0,suggest_repeat_action,19
7,morning,6,1,health,doctor_appointment,62,home,20.0,82.9,10,2.3,177.2,clear,57.0,95.5,0,3,podcast,0,no_action,7
11,morning,4,0,work,team_meeting,129,work,24.9,45.2,2,2.15,56.2,clear,76.6,72.1,1,1,none,0,no_action,7
15,afternoon,4,0,school,exam,47,school,81.9,82.2,2,3.0,83.4,clear,94.9,54.7,1,1,music,0,study_for_class,18
15,afternoon,1,0,none,none,999,home,63.5,93.6,8,1.45,28.2,clear,27.4,19.1,0,3,none,0,focus_session,5
10,morning,1,0,social,family_time,4,commuting,17.9,100.0,10,2.49,175.1,rain,54.8,44.1,0,4,music,0,find_parking,4
0,night,4,0,none,none,999,home,28.7,38.8,4,0.65,128.1,rain,78.9,75.8,1,1,music,1,sleep_suggestion,15
11,morning,2,0,school,assignment_due,-16,school,40.3,47.5,7,1.76,93.7,clear,41.4,53.1,0,4,music,0,send_late_message,13
13,afternoon,0,0,health,gym,44,gym,80.8,63.6,9,4.88,87.6,rain,75.4,68.0,0,1,podcast,0,no_action,7
8,morning,5,1,social,family_time,111,home,51.5,73.9,4,2.14,146.9,fog,51.2,75.5,1,3,none,0,no_action,7
5,morning,4,0,none,none,999,outside,27.2,73.2,4,2.0,99.4,fog,68.8,48.3,0,3,music,1,no_action,7
9,morning,1,0,work,presentation,71,work,76.3,55.7,9,1.04,11.3,rain,33.1,53.7,0,5,music,0,no_action,7
8,morning,1,0,work,presentation,-25,commuting,47.5,61.4,2,3.97,51.0,rain,21.1,48.4,0,5,none,0,send_late_message,13
6,morning,5,1,none,none,999,outside,59.7,75.2,1,0.98,152.0,clear,47.5,44.6,0,4,none,0,plan_day,8
20,evening,0,0,health,gym,70,gym,11.3,81.6,7,3.77,130.1,clear,94.8,39.4,0,4,podcast,0,no_action,7
18,evening,1,0,health,gym,78,gym,39.3,90.3,3,2.64,132.6,rain,37.5,58.0,0,0,none,0,no_action,7
21,night,4,0,health,gym,126,gym,24.4,100.0,8,3.02,53.9,clear,87.0,56.5,0,2,music,1,no_action,7
15,afternoon,2,0,none,none,999,home,47.4,100.0,6,4.91,148.3,clear,70.1,81.5,0,4,podcast,0,no_action,7
10,morning,1,0,work,deadline,179,work,89.3,64.1,0,2.61,18.8,clear,71.3,88.7,0,2,music,0,no_action,7
12,afternoon,0,0,health,therapy,136,home,54.8,88.1,8,3.8,44.5,clear,36.7,56.4,0,1,none,0,no_action,7
8,morning,2,0,none,none,999,outside,98.3,38.5,7,3.95,8.1,clear,44.9,29.5,0,4,music,0,focus_session,5
16,afternoon,2,0,none,none,999,home,61.5,60.6,1,6.14,132.4,rain,72.6,80.6,1,4,none,0,eat_something,1
7,morning,2,0,none,none,999,home,34.0,70.7,0,0.44,150.9,clear,83.2,57.5,0,3,music,0,plan_day,8
2,night,2,0,none,none,999,outside,64.0,61.3,10,1.32,35.8,fog,64.6,37.5,0,0,none,1,no_action,7
23,night,1,0,none,none,999,outside,86.6,76.5,4,0.1,144.0,snow,51.0,46.5,0,3,music,1,wind_down,22
0,night,1,0,none,none,999,home,62.9,76.6,8,0.51,105.8,clear,91.0,65.8,1,2,none,1,no_action,7
7,morning,1,0,health,doctor_appointment,-6,commuting,33.2,94.9,3,1.16,50.5,fog,9.5,16.8,0,0,music,0,find_gas_station,3
